"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Annual_Mean_Temp",9.15817154158102,3.11421054814286,1.62732706120122,0.0384783632946914,0.225516490884035
"Mean_Diurnal_Range",4.51242456690818,1.52396156034163,12.7512925468018,0.00269602193376004,49.1681618571312
"Isothermality",2.47757527552631,8.46596423846122,2.2088576434432,5.49669364045751,18.1421039135464
"Temp_seasonality",4.90497380418586,0.296893299739592,8.64625336143978,25.0429802718286,8.37208355333304
"Max_Temp_warmest_month",10.7521269921978,1.48314681135258,0.30252153299885,0.05751672718194,0.0246330217570832
"Min_Temp_coldest_month",5.27392106004891,5.07631534684084,8.99179384796808,0.586338775264693,1.10620298735497
"Temp_annual_range",6.41660678285605,1.30476431889009,11.9939426625541,2.47864412790699,3.42080044465342
"Mean_Temp_wettest_quarter",9.49104254680821,2.62894391960364,1.35051234019266,0.15570523105959,0.00522472386970064
"Mean_Temp_driest_quarter",8.56375860391008,3.04997535020835,3.51448208524496,0.136329269884568,0.22996769785484
"Mean_Temp_warmest_quarter",9.66634136992494,2.63987034218352,1.14118222852134,0.0252768843616114,0.413024438892542
"Mean_Temp_coldest_quarter",8.41710391165767,3.485880088176,2.79137092137477,0.632842928552613,0.0504311479680417
"Annual_Precipitation",1.25956064321001,12.0141884409538,4.47576449760388,0.161956130529274,2.37653233484194
"Prec_wettest_month",0.0371808550381974,10.1423595271397,12.8918747603844,1.83610633488139,1.66317257256442
"Prec_driest_month",2.99160176278858,9.39325913710296,0.603324274097832,14.1715301923329,1.47432516771255
"Prec_seasonality",4.52813079193237,0.744990313943368,14.2187313932627,20.791064696899,3.95796225324052
"Prec_wettest_quarter",0.250342723266925,10.3432608770524,11.4601912743174,2.23915299277519,1.49250961104764
"Prec_drier_quarter",3.72930464800581,9.5830805811223,0.12050148643584,7.94466399484983,0.923948061906315
"Prec_warmest_quarter",2.34742962039106,10.0309614808083,0.820092472494647,3.7913041243069,4.7159045230906
"Prec_coldest_quarter",5.222402499762,4.6779738179366,0.0899836096625841,14.4107192916988,2.23749519835062
